USA1_alt,Specimen.I,Species,Complex,Year,Lat,Lon,Color,T2T3Red
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
1511,AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,1,0
