,auricomus,nevadensis,vagans,centralis,balteatus,rufocinctus,melanopygus,flavifrons,vandykei,caliginosus,perplexus,bifarius,ternarius,huntii,vosnesenskii,impatiens,sylvicola,bimaculatus,affinis,appositus,borealis,californicus,fervidus,fraternus,franklini,griseocollis,crotchii,morrisoni,occidentalis,terricola,pennsylvanicus,sitkensis,sonorus,frigidus,sandersoni,mixtus
fervidus,61.29,61.29,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,43.71,43.71,5.07,0,47.13,47.13,47.13,47.13,47.13,47.13,47.13,12.52,47.13,12.52,47.13,47.13,47.13
fraternus,61.29,61.29,43.82,43.82,43.82,31.39,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,47.13,47.13,47.13,47.13,0,43.82,15.41,15.41,15.41,43.82,43.82,47.13,43.82,47.13,43.82,43.82,43.82
franklini,61.29,61.29,36.42,36.42,26.85,43.82,36.42,36.42,36.42,36.42,36.42,36.42,36.42,36.42,36.42,36.42,36.42,36.42,5.52,47.13,47.13,47.13,47.13,43.82,0,43.82,43.82,43.82,3.89,3.89,47.13,36.42,47.13,36.42,36.42,36.42
griseocollis,61.29,61.29,43.82,43.82,43.82,31.39,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,47.13,47.13,47.13,47.13,15.41,43.82,0,11.3,15.12,43.82,43.82,47.13,43.82,47.13,43.82,43.82,43.82
crotchii,61.29,61.29,43.82,43.82,43.82,31.39,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,47.13,47.13,47.13,47.13,15.41,43.82,11.3,0,15.12,43.82,43.82,47.13,43.82,47.13,43.82,43.82,43.82
morrisoni,61.29,61.29,43.82,43.82,43.82,31.39,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,47.13,47.13,47.13,47.13,15.41,43.82,15.12,15.12,0,43.82,43.82,47.13,43.82,47.13,43.82,43.82,43.82
occidentalis,61.29,61.29,36.42,36.42,26.85,43.82,36.42,36.42,36.42,36.42,36.42,36.42,36.42,36.42,36.42,36.42,36.42,36.42,5.52,47.13,47.13,47.13,47.13,43.82,3.89,43.82,43.82,43.82,0,1.71,47.13,36.42,47.13,36.42,36.42,36.42
terricola,61.29,61.29,36.42,36.42,26.85,43.82,36.42,36.42,36.42,36.42,36.42,36.42,36.42,36.42,36.42,36.42,36.42,36.42,5.52,47.13,47.13,47.13,47.13,43.82,3.89,43.82,43.82,43.82,1.71,0,47.13,36.42,47.13,36.42,36.42,36.42
pennsylvanicus,61.29,61.29,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,43.71,43.71,12.52,12.52,47.13,47.13,47.13,47.13,47.13,47.13,47.13,0,47.13,1.78,47.13,47.13,47.13
sitkensis,61.29,61.29,26.96,26.96,36.42,43.82,25.88,26.96,26.96,26.96,23.62,25.88,25.88,25.88,25.88,25.88,25.88,25.88,36.42,47.13,47.13,47.13,47.13,43.82,36.42,43.82,43.82,43.82,36.42,36.42,47.13,0,47.13,6.29,5.24,5.24
sonorus,61.29,61.29,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,43.71,43.71,12.52,12.52,47.13,47.13,47.13,47.13,47.13,47.13,47.13,1.78,47.13,0,47.13,47.13,47.13
frigidus,61.29,61.29,26.96,26.96,36.42,43.82,25.88,26.96,26.96,26.96,23.62,25.88,25.88,25.88,25.88,25.88,25.88,25.88,36.42,47.13,47.13,47.13,47.13,43.82,36.42,43.82,43.82,43.82,36.42,36.42,47.13,6.29,47.13,0,6.29,6.29
sandersoni,61.29,61.29,26.96,26.96,36.42,43.82,25.88,26.96,26.96,26.96,23.62,25.88,25.88,25.88,25.88,25.88,25.88,25.88,36.42,47.13,47.13,47.13,47.13,43.82,36.42,43.82,43.82,43.82,36.42,36.42,47.13,5.24,47.13,6.29,0,4.39
mixtus,61.29,61.29,26.96,26.96,36.42,43.82,25.88,26.96,26.96,26.96,23.62,25.88,25.88,25.88,25.88,25.88,25.88,25.88,36.42,47.13,47.13,47.13,47.13,43.82,36.42,43.82,43.82,43.82,36.42,36.42,47.13,5.24,47.13,6.29,4.39,0
