cell,Specimen.ID,Species,T2T3Red,Lat,Lon,X,Y,TemplateX,TemplateY,Difference1,Difference2,Distance
125,HH15-4402-6,bifarius,0,45.12406,-116.83571,0.235982923,0.131094731,0.599831093,0.706655227,-0.363848171,-0.575560496,0.680922445
125,HH15-4402-8,bifarius,0,45.12406,-116.83571,0.235982923,0.131094731,0.599831093,0.706655227,-0.363848171,-0.575560496,0.680922445
125,HH15-4304-12,bifarius,0,45.14772,-116.9716,0.235982923,0.131094731,0.599831093,0.706655227,-0.363848171,-0.575560496,0.680922445
125,HH15-4304-7,bifarius,0,45.14772,-116.9716,0.235982923,0.131094731,0.599831093,0.706655227,-0.363848171,-0.575560496,0.680922445
125,HH15-4304-1 bifarius,bifarius,0,45.14772,-116.9716,0.235982923,0.131094731,0.599831093,0.706655227,-0.363848171,-0.575560496,0.680922445
125,HH15-4304-11,bifarius,0,45.14772,-116.9716,0.235982923,0.131094731,0.599831093,0.706655227,-0.363848171,-0.575560496,0.680922445
125,HH15-4304-13,bifarius,0,45.14772,-116.9716,0.235982923,0.131094731,0.599831093,0.706655227,-0.363848171,-0.575560496,0.680922445
125,HH15-4304-3,bifarius,0,45.14772,-116.9716,0.235982923,0.131094731,0.599831093,0.706655227,-0.363848171,-0.575560496,0.680922445
126,AMNH_BEE 00095596,bifarius,0,45.613,-113.922,0.467624862,0.397749641,0.599831093,0.706655227,-0.132206231,-0.308905586,0.336007661
126,AMNH_BEE 00095728,bifarius,0,45.613,-113.922,0.467624862,0.397749641,0.599831093,0.706655227,-0.132206231,-0.308905586,0.336007661
126,AMNH_BEE 00095739,bifarius,0,45.782,-113.948,0.467624862,0.397749641,0.599831093,0.706655227,-0.132206231,-0.308905586,0.336007661
126,AMNH_BEE 00095740,bifarius,0,45.782,-113.948,0.467624862,0.397749641,0.599831093,0.706655227,-0.132206231,-0.308905586,0.336007661
127,ENT.711247,bifarius,0,45.69194,-112.055,0.038457665,-0.063825918,0.599831093,0.706655227,-0.561373428,-0.770481145,0.953300226
128,AMNH_BEE 00095871,bifarius,0,45.19916,-109.63472,0.340180149,0.22822422,0.599831093,0.706655227,-0.259650944,-0.478431007,0.544348088
128,AMNH_BEE 00095147,bifarius,0,45.277,-109.496,0.340180149,0.22822422,0.599831093,0.706655227,-0.259650944,-0.478431007,0.544348088
128,AMNH_BEE 00095148,bifarius,0,45.277,-109.496,0.340180149,0.22822422,0.599831093,0.706655227,-0.259650944,-0.478431007,0.544348088
128,AMNH_BEE 00095159,bifarius,0,45.277,-109.496,0.340180149,0.22822422,0.599831093,0.706655227,-0.259650944,-0.478431007,0.544348088
128,AMNH_BEE 00095632,bifarius,0,45.277,-109.496,0.340180149,0.22822422,0.599831093,0.706655227,-0.259650944,-0.478431007,0.544348088
